index,score_scale,score_binary,full_text
91,0.5,"[[3, -1]]","De 2010 para cá, Brasil caiu da 19ª posição para a 68ª, no ranking de países seguros para LGBTs. Na nossa gestão em SP, a cidade chegou a ganhar o selo da Rainbow Cities Network, único caso na América Latina. https://t.co/r0ZEcVO7I1"
92,0.5,"[[3, -1]]","RT @FeCastanhari: Bolsonaro falou: ""democracia e liberdade, só existe quando a sua respectiva forças armadas assim o quer”

Ficou claro que…"
93,0.5,"[[3, -1]]",Vai ser bem fácil cobrar: “Prefeitura de SP quer multar em R$ 500 quem fumar crack nas ruas”. https://t.co/VFExK9w2MH
94,0.5,"[[3, -1]]","Eles só podem querer enfraquecer a luta antimanicomial, mas seguiremos firmes: Eduardo Bolsonaro usa as redes sociais para criticar Exército https://t.co/0icMnaI5Vq"
95,0.5,"[[3, -1]]","Colégios civis têm desempenho similar às escolas militares. Na minha opinião, modelo dos Institutos Federais é o mais promissor. Integração radical dos sistemas estaduais com sistema S poderia ter sistema federal como modelo. Melhor do que militarizar. https://t.co/2uRAYuDo3s"
96,0.5,"[[3, -1]]","RT @SenSanders: Trump is worried about America becoming a ""socialist nation."" That is exactly what Republicans said about Social Security i…"
97,0.5,"[[3, -1]]","Muito divertida essa matéria: “Por que deixei de ser olavete: ex-simpatizantes narram rompimento com guru Olavo de Carvalho”
 https://t.co/X0VkgXCRfk"
98,0.5,"[[4, -2]]","Thread do escândalo Bolsonaro: Em 2008, Ana Cristina, ex-mulher de Bolsonaro, acusou o deputado de ter renda superior ao que recebia como deputado e militar reformado, E que sua renda mensal chegava a R$ 100 mil reais – R$ 183 mil em valores atualizados.  https://t.co/b1prBpUlS2"
99,0.5,"[[3, -1]]","Mais uma luz de esperança: pesquisas indicam rejeição dos ingleses ao Brexit. Somado ao possível impeachment de Trump, era mundial de retrocessos pode ter vida curta. 
The polls are clear: support for staying in the EU has rocketed | Peter Kellner https://t.co/1ofrMDBAV3"
100,0.5,"[[3, -1]]",Pátria Amada? Militares intensificam lobby para ficar fora da reforma da Previdência https://t.co/LuGC9wafDh
101,0.5,"[[3, -1]]",RT @LulaOficial: Era melhor ter armado a população com carteira de trabalho e livros. #RecadoDoLula
102,0.5,"[[3, -1]]","Rolando de alegria: “Em vídeo, Queiroz dança no hospital” @estadao:  https://t.co/SL6eFkzshy"
103,0.5,"[[3, -1]]","Estudante do Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul (IFRS) se tornou a primeira jovem brasileira da história a ser selecionada para acompanhar uma cerimônia do Prêmio Nobel. Os Institutos Federais me enchem de orgulho. 
https://t.co/qSxL9uef4x"
104,0.5,"[[3, -1]]",RT @PaolaCarosella: Meninos azul e meninas rosa. Que bonito. Era tão fácil de resolver meu. Como não reparamos antes ! Era só comprar a rou…
105,0.5,"[[3, -1]]",Uma luz de esperança: “Impeachment de Trump é cada vez mais inevitável”. https://t.co/MhbQ4vdSCN
106,0.5,"[[3, -1]]","Brasileira negra, participante do Ciência sem Fronteiras, ganhou prêmio internacional ao criar sistema de dessalinização de água com grafeno. https://t.co/B8tdRZNQiw via @conexaoplaneta"
